country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,year,month,day,month_ab,month_name
Ethiopia,ETH,2021-05-25,1717481.0,1717481.0,,33031.0,33237.0,1.46,1.46,,282.0,"Covaxin, Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/,2021,5,25,May,May
Iraq,IRQ,2022-01-24,,,,,46804.0,,,,1137.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,2022,1,24,Jan,January
Montserrat,MSR,2021-03-27,,,,,17.0,,,,3413.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,2021,3,27,Mar,March
Sao Tome and Principe,STP,2021-12-01,,,,,1143.0,,,,5117.0,Oxford/AstraZeneca,World Health Organization,https://africacdc.org/covid-19-vaccination/,2021,12,1,Dec,December
Paraguay,PRY,2021-07-20,1911936.0,1643323.0,268613.0,50992.0,65422.0,26.48,22.76,3.72,9062.0,"Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,7,20,Jul,July
Congo,COG,2021-06-30,116110.0,116110.0,,,1924.0,2.05,2.05,,340.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Africa Centres for Disease Control and Prevention,https://covid19.who.int/,2021,6,30,Jun,June
Nepal,NPL,2022-03-21,39374392.0,21903002.0,18748545.0,84550.0,70061.0,132.69,73.81,63.18,2361.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.mohp.gov.np/situation-report,2022,3,21,Mar,March
Iran,IRN,2021-06-16,,,,,35653.0,,,,419.0,"COVIran Barekat, Covaxin, FAKHRAVAC, Oxford/AstraZeneca, Razi Cov Pars, Sinopharm/Beijing, Soberana02, SpikoGen, Sputnik V",World Health Organization,https://irangov.ir/detail/383414,2021,6,16,Jun,June
Dominican Republic,DOM,2021-12-07,13899270.0,6898664.0,5633639.0,15242.0,11762.0,126.89,62.98,51.43,1074.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/,2021,12,7,Dec,December
Mexico,MEX,2021-04-16,13978181.0,11067294.0,3681064.0,556473.0,427616.0,10.73,8.5,2.83,3283.0,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/712810/2022.03.29_17h00_ComunicadoTecnicoDiario_Covid19__1_.pdf,2021,4,16,Apr,April
Colombia,COL,2021-03-12,693490.0,,,104282.0,64806.0,1.35,,,1264.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://docs.google.com/spreadsheets/d/1eblBeozGn1soDGXbOIicwyEDkUqNMzzpJoAKw84TTA4,2021,3,12,Mar,March
Cook Islands,COK,2022-01-09,,,,,7.0,,,,398.0,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2022,1,9,Jan,January
Myanmar,MMR,2021-02-17,,,,,12222.0,,,,223.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://mohs.gov.mm/page/18035,2021,2,17,Feb,February
Greece,GRC,2022-03-10,20280234.0,7876187.0,7560823.0,16872.0,11843.0,195.55,75.95,72.91,1142.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/,2022,3,10,Mar,March
Paraguay,PRY,2021-09-12,,,,,30366.0,,,,4206.0,"Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,9,12,Sep,September
Northern Cyprus,OWID_CYN,2021-07-27,,,,,2206.0,,,,5771.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://asi.saglik.gov.ct.tr/,2021,7,27,Jul,July
Kuwait,KWT,2021-12-19,,,,,15598.0,,,,3604.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2021,12,19,Dec,December
Saudi Arabia,SAU,2021-05-30,14043763.0,,,215516.0,165890.0,39.74,,,4694.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.who.int/,2021,5,30,May,May
Bulgaria,BGR,2021-07-23,,,,,8521.0,,,,1236.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika,2021,7,23,Jul,July
Gibraltar,GIB,2021-08-20,78667.0,39486.0,39181.0,60.0,19.0,233.5,117.2,116.3,564.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Gibraltar,https://twitter.com/GibraltarGov/status/1507008369005015050,2021,8,20,Aug,August
Denmark,DNK,2021-05-13,2514619.0,1571795.0,942681.0,39300.0,46296.0,43.26,27.04,16.22,7964.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata,2021,5,13,May,May
Denmark,DNK,2021-08-08,7667224.0,4257031.0,3456247.0,39934.0,49384.0,131.89,73.23,59.45,8495.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata,2021,8,8,Aug,August
New Zealand,NZL,2021-09-26,5054680.0,3242579.0,1811925.0,24915.0,47579.0,98.6,63.25,35.35,9281.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021,9,26,Sep,September
Guyana,GUY,2021-06-02,274625.0,203847.0,70778.0,,3626.0,34.75,25.79,8.96,4588.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,6,2,Jun,June
Antigua and Barbuda,ATG,2021-12-16,,,,,111.0,,,,1124.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://covid19.gov.ag,2021,12,16,Dec,December
Uruguay,URY,2021-07-07,4233872.0,2340389.0,1893483.0,51294.0,39797.0,121.48,67.15,54.33,11419.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health via vacuna.uy,https://monitor.uruguaysevacuna.gub.uy/,2021,7,7,Jul,July
Sao Tome and Principe,STP,2021-06-08,23027.0,12374.0,10653.0,,517.0,10.31,5.54,4.77,2315.0,Oxford/AstraZeneca,World Health Organization,https://africacdc.org/covid-19-vaccination/,2021,6,8,Jun,June
Panama,PAN,2022-02-03,,,,,24858.0,,,,5673.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2022,2,3,Feb,February
Italy,ITA,2022-01-07,114761857.0,48785175.0,44968569.0,688551.0,489605.0,190.11,80.81,74.49,8110.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,2022,1,7,Jan,January
Bangladesh,BGD,2022-01-28,,,,,890031.0,,,,5352.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php,2022,1,28,Jan,January
Estonia,EST,2021-03-31,266718.0,202949.0,69361.0,5975.0,4493.0,20.13,15.31,5.23,3390.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee,2021,3,31,Mar,March
Sint Maarten (Dutch part),SXM,2021-09-10,48882.0,25516.0,23366.0,,53.0,112.58,58.76,53.81,1221.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/,2021,9,10,Sep,September
Jordan,JOR,2021-04-09,,,,,16040.0,,,,1562.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,2021,4,9,Apr,April
Ecuador,ECU,2021-10-16,21405209.0,11748955.0,10052820.0,8743.0,34398.0,119.66,65.68,56.2,1923.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid,2021,10,16,Oct,October
Mauritania,MRT,2021-09-11,,,,,4900.0,,,,1026.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/,2021,9,11,Sep,September
Lebanon,LBN,2021-02-26,34991.0,,,5171.0,3095.0,0.52,,,457.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine,2021,2,26,Feb,February
Latvia,LVA,2022-01-21,2740819.0,1332866.0,1282769.0,9946.0,7563.0,146.81,71.39,68.71,4051.0,"Johnson&Johnson, Moderna, Novavax, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,2022,1,21,Jan,January
Bolivia,BOL,2021-02-16,10167.0,10167.0,,0.0,59.0,0.09,0.09,,5.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via https://www.boligrafica.com/,https://github.com/dquintani/vacunacion/,2021,2,16,Feb,February
New Zealand,NZL,2021-04-26,229038.0,171872.0,57163.0,2252.0,7240.0,4.47,3.35,1.12,1412.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021,4,26,Apr,April
Djibouti,DJI,2021-10-19,,,,,608.0,,,,607.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/,2021,10,19,Oct,October
Belize,BLZ,2022-01-24,,,,,723.0,,,,1786.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2022,1,24,Jan,January
Denmark,DNK,2021-08-03,7435245.0,4212150.0,3269146.0,56646.0,48240.0,127.9,72.46,56.24,8298.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata,2021,8,3,Aug,August
New Zealand,NZL,2021-11-27,7485853.0,3874367.0,3589512.0,25699.0,19079.0,146.03,75.58,70.02,3722.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021,11,27,Nov,November
Mauritius,MUS,2021-01-31,,,,,30.0,,,,24.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/,2021,1,31,Jan,January
Barbados,BRB,2021-10-22,,,,,942.0,,,,3274.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://gisbarbados.gov.bb/blog/covid-19-update-for-monday-march-28/,2021,10,22,Oct,October
Ethiopia,ETH,2021-05-07,1287801.0,1287801.0,,49975.0,24757.0,1.09,1.09,,210.0,"Covaxin, Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/,2021,5,7,May,May
Singapore,SGP,2021-06-02,4069721.0,2298375.0,1771346.0,43169.0,44632.0,74.62,42.14,32.48,8184.0,"Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Singapore,https://data.gov.sg/dataset/covid-19-vaccination,2021,6,2,Jun,June
Bulgaria,BGR,2021-01-18,19638.0,18524.0,1114.0,1185.0,782.0,0.28,0.27,0.02,113.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika,2021,1,18,Jan,January
Belgium,BEL,2021-09-21,16628321.0,8594088.0,8392444.0,16231.0,15389.0,142.95,73.88,72.15,1323.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/,2021,9,21,Sep,September
Mauritania,MRT,2022-02-18,,,,,3667.0,,,,768.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/,2022,2,18,Feb,February
Montserrat,MSR,2021-10-20,,,,,1.0,,,,201.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,2021,10,20,Oct,October
Gibraltar,GIB,2022-01-02,,,,,17.0,,,,505.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Gibraltar,https://twitter.com/GibraltarGov/status/1507008369005015050,2022,1,2,Jan,January
Kenya,KEN,2021-08-02,1726937.0,1064500.0,662437.0,744.0,7666.0,3.14,1.94,1.2,139.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://www.health.go.ke/wp-content/uploads/2022/03/MINISTRY-OF-HEALTH-KENYA-COVID-19-IMMUNIZATION-STATUS-REPORT-19TH-MARCH-2022.pdf,2021,8,2,Aug,August
Mauritius,MUS,2021-06-12,,,,,9756.0,,,,7661.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/,2021,6,12,Jun,June
Curacao,CUW,2021-06-28,166942.0,88632.0,78310.0,476.0,337.0,101.3,53.78,47.52,2045.0,"Moderna, Pfizer/BioNTech",Government of Curacao,https://bakuna.cw/,2021,6,28,Jun,June
Madagascar,MDG,2021-06-13,,,,,8407.0,,,,296.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2021,6,13,Jun,June
Belgium,BEL,2021-03-12,1236100.0,817709.0,419680.0,45584.0,27715.0,10.63,7.03,3.61,2383.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/,2021,3,12,Mar,March
Bermuda,BMU,2021-07-06,,,,,167.0,,,,2690.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,7,6,Jul,July
Central African Republic,CAF,2022-01-17,,,,,3339.0,,,,679.0,"Covaxin, Oxford/AstraZeneca",Africa Centres for Disease Control and Prevention,https://covid19.who.int/,2022,1,17,Jan,January
Sao Tome and Principe,STP,2021-03-30,,,,,713.0,,,,3192.0,Oxford/AstraZeneca,World Health Organization,https://africacdc.org/covid-19-vaccination/,2021,3,30,Mar,March
Croatia,HRV,2022-01-21,5033759.0,2287471.0,2193513.0,12096.0,12666.0,123.33,56.04,53.74,3103.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr,2022,1,21,Jan,January
Brazil,BRA,2021-09-06,203024669.0,139985523.0,67702291.0,1502590.0,1644110.0,94.87,65.42,31.64,7683.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",State governments via coronavirusbra1.github.io,https://coronavirusbra1.github.io,2021,9,6,Sep,September
England,OWID_ENG,2021-11-12,91142968.0,42399594.0,38555353.0,350475.0,366766.0,161.17,74.98,68.18,6486.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2021,11,12,Nov,November
Vietnam,VNM,2021-07-15,4185623.0,3890947.0,294676.0,38856.0,28832.0,4.26,3.96,0.3,294.0,"Abdala, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.gov.vn/ngay-23-3-so-mac-moi-covid-19-giam-con-127883-ca-tuyen-quang-bo-sung-gan-13000-f0-171220323181603013.htm,2021,7,15,Jul,July
New Zealand,NZL,2021-03-08,16690.0,16687.0,3.0,1073.0,1224.0,0.33,0.33,0.0,239.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021,3,8,Mar,March
Guatemala,GTM,2021-05-09,,,,,5779.0,,,,317.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,5,9,May,May
Cote d'Ivoire,CIV,2021-08-04,1098505.0,1098505.0,,31364.0,19879.0,4.06,4.06,,735.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,2021,8,4,Aug,August
Netherlands,NLD,2021-12-20,,,,,147508.0,,,,8589.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech","European CDC, via Marino van Zelst",https://github.com/mzelst/covid-19,2021,12,20,Dec,December
Sierra Leone,SLE,2022-02-12,,,,,23056.0,,,,2832.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2022,2,12,Feb,February
Sri Lanka,LKA,2021-12-26,33178074.0,15982016.0,13829115.0,70740.0,138580.0,154.34,74.34,64.33,6446.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_vaccination/covid_vaccination_2022-03_22.pdf,2021,12,26,Dec,December
Jersey,JEY,2022-03-19,,,,,363.0,,,,3591.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true,2022,3,19,Mar,March
Macao,MAC,2022-01-05,980845.0,494416.0,464430.0,1804.0,1422.0,148.98,75.09,70.54,2160.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.ssm.gov.mo/docs/19164/19164_dd2dfe6b739b4964b394d629e656af72_000_.pdf,2022,1,5,Jan,January
Tajikistan,TJK,2021-05-10,,,,,516.0,,,,53.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/,2021,5,10,May,May
Japan,JPN,2021-03-03,37303.0,37303.0,,2531.0,2774.0,0.03,0.03,,22.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html,2021,3,3,Mar,March
Montenegro,MNE,2021-07-02,291621.0,151655.0,139966.0,1375.0,1175.0,46.43,24.15,22.29,1871.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/,2021,7,2,Jul,July
Qatar,QAT,2021-07-06,3304045.0,1797077.0,1506968.0,27629.0,27857.0,112.75,61.32,51.42,9506.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,2021,7,6,Jul,July
Israel,ISR,2021-11-11,16072343.0,6274014.0,5774326.0,9206.0,7198.0,172.99,67.53,62.15,775.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general,2021,11,11,Nov,November
Serbia,SRB,2021-11-10,,,,,26955.0,,,,3923.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/,2021,11,10,Nov,November
Slovakia,SVK,2022-01-06,,,,,25517.0,,,,4683.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data/raw/main/Vaccination/OpenData_Slovakia_Vaccination_AgeGroup_District.csv,2022,1,6,Jan,January
France,FRA,2022-02-04,137713932.0,53827872.0,51689086.0,317025.0,213225.0,204.26,79.84,76.67,3163.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/,2022,2,4,Feb,February
Madagascar,MDG,2021-09-11,,,,,5379.0,,,,189.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2021,9,11,Sep,September
Moldova,MDA,2022-03-21,2113955.0,,1051620.0,1392.0,1512.0,52.53,,26.13,376.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md,2022,3,21,Mar,March
Cyprus,CYP,2021-12-09,,,,,7298.0,,,,8145.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5,2021,12,9,Dec,December
Latvia,LVA,2022-03-03,2857486.0,1342461.0,1299563.0,1182.0,1218.0,153.06,71.91,69.61,652.0,"Johnson&Johnson, Moderna, Novavax, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,2022,3,3,Mar,March
Fiji,FJI,2021-12-16,,,,,1583.0,,,,1753.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2021,12,16,Dec,December
Morocco,MAR,2021-04-29,,,,,51794.0,,,,1387.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,2021,4,29,Apr,April
Nauru,NRU,2021-04-30,,,,,239.0,,,,21981.0,Oxford/AstraZeneca,World Health Organization,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2021,4,30,Apr,April
Burkina Faso,BFA,2021-12-31,,,,,10718.0,,,,499.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2021,12,31,Dec,December
Mexico,MEX,2021-09-01,85375481.0,58008815.0,34282292.0,429038.0,493111.0,65.54,44.53,26.32,3786.0,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/712810/2022.03.29_17h00_ComunicadoTecnicoDiario_Covid19__1_.pdf,2021,9,1,Sep,September
Scotland,OWID_SCT,2022-03-21,,,,,2624.0,,,,480.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2022,3,21,Mar,March
Eswatini,SWZ,2021-06-16,,,,,221.0,,,,189.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/,2021,6,16,Jun,June
Kyrgyzstan,KGZ,2021-09-02,1169143.0,696371.0,469782.0,14780.0,11333.0,17.64,10.51,7.09,1710.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vc.emed.gov.kg/,2021,9,2,Sep,September
Norway,NOR,2021-08-23,6459286.0,3825054.0,2633034.0,43865.0,55811.0,118.18,69.98,48.17,10211.0,"Moderna, Pfizer/BioNTech",Norwegian Institute of Public Health,https://github.com/folkehelseinstituttet/surveillance_data,2021,8,23,Aug,August
Gambia,GMB,2021-08-07,,,,,3615.0,,,,1454.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://covid19.who.int/,2021,8,7,Aug,August
Kyrgyzstan,KGZ,2021-10-10,1534397.0,873990.0,659063.0,6893.0,8929.0,23.15,13.19,9.94,1347.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vc.emed.gov.kg/,2021,10,10,Oct,October
Indonesia,IDN,2021-11-05,201512037.0,123824199.0,77687838.0,1972191.0,1680264.0,72.92,44.81,28.11,6080.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Indonesia,https://data.covid19.go.id/public/index.html,2021,11,5,Nov,November
Iran,IRN,2021-08-09,16213714.0,13061640.0,3152074.0,,546391.0,19.07,15.36,3.71,6426.0,"COVIran Barekat, Covaxin, FAKHRAVAC, Oxford/AstraZeneca, Razi Cov Pars, Sinopharm/Beijing, Soberana02, SpikoGen, Sputnik V",World Health Organization,https://irangov.ir/detail/383414,2021,8,9,Aug,August
Gabon,GAB,2021-09-21,,,,,1267.0,,,,556.0,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/,2021,9,21,Sep,September
Moldova,MDA,2021-11-26,,,,,3023.0,,,,751.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md,2021,11,26,Nov,November
Guatemala,GTM,2022-01-13,12180181.0,6692717.0,4947799.0,107363.0,94676.0,66.74,36.67,27.11,5188.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2022,1,13,Jan,January
Montenegro,MNE,2021-09-14,421231.0,223265.0,197966.0,3081.0,2096.0,67.07,35.55,31.52,3337.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/,2021,9,14,Sep,September
Slovenia,SVN,2022-02-10,2943880.0,1262688.0,1215094.0,4386.0,2139.0,141.62,60.74,58.45,1029.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via covid-19.sledilnik.org,https://covid-19.sledilnik.org/sl/stats,2022,2,10,Feb,February
